Additional_Information,Name,Type,Class,Genus,Species,Sample_ID,Owner,Reference,Nitrogen_pct,Carbon_pct,Cellulose_pct,Lignin_pct,Water_Content_pct,LMA_gm2,Leaf_Thickness_mm
TRUE,Pinus lambertiana 1,vegetation,Tree,Pinus,lambertiana,VH147,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.75,43.32,16.9,9.59,50.22,216.08,0.51
TRUE,Pinus lambertiana 1,vegetation,Tree,Pinus,lambertiana,VH148,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.93,46.21,17.76,9.38,49.29,254.8,0.63
TRUE,Abies concolor 1,vegetation,Tree,Abies,concolor,VH149,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.86,48.89,12.32,9.97,49.17,296.52,0.64
TRUE,Abies concolor 1,vegetation,Tree,Abies,concolor,VH150,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.98,48.36,14.63,10.92,54.94,258.64,0.68
TRUE,Calocedrus decrruens 2,vegetation,Tree,Calocedrus,decurrens,VH151,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.86,51.35,13.42,12.4,45.82,266.1,0.45
TRUE,Calocedrus decrruens 2,vegetation,Tree,Calocedrus,decurrens,VH152,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.14,49.67,14.82,13.31,56.07,212.21,0.43
TRUE,Pinus ponderosa 1,vegetation,Tree,Pinus,ponderosa,VH153,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.94,50.16,22.51,12.7,52.04,267.13,0.64
TRUE,Pinus ponderosa 1,vegetation,Tree,Pinus,ponderosa,VH154,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.39,49.79,24.94,12.17,71.38,136.79,0.62
TRUE,Calocedrus decrruens 3,vegetation,Tree,Calocedrus,decurrens,VH155,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,0.93,49.24,10.89,10.88,44.94,231.97,0.51
TRUE,Calocedrus decrruens 3,vegetation,Tree,Calocedrus,decurrens,VH156,UCSB,Meerdink; Roberts; King; Roth; Dennison; Amaral; & Hook (2016). Linking seasonal foliar traits to VSWIR-TIR spectroscopy across California ecosystems. Remote Sensing of Environment; 186; 322-338.,1.1,48.95,11.93,12.04,54.43,258.53,0.61
